Date,Ticket_Number,EngineerId,Distance_Travelled
04/01/2021,WO-012618164,10351,52.01
04/01/2021,WO-012531099,10351,76.87
04/01/2021,WO-012621321,10351,76.87
04/01/2021,WO-012625542,10332,41.43
04/01/2021,WO-012610604,10332,62.82
04/01/2021,WO-012617819,10332,62.82
04/01/2021,WO-012003826,10332,62.82
04/01/2021,WO-012620697,9806,62.82
04/01/2021,WO-012624332,9806,62.82
04/01/2021,WO-012611684,9799,30
04/01/2021,WO-012610868,9799,30
04/01/2021,WO-012617664,9799,30
04/01/2021,WO-012598858,10394,30
04/01/2021,WO-012614912,10394,30
04/01/2021,WO-012584338,10394,30
04/01/2021,WO-012614365,9808,30
04/01/2021,WO-012623303,9808,66.89
04/01/2021,WO-012623734,9808,66.89
04/01/2021,WO-012583916,10352,66.89
04/01/2021,WO-012428695,10352,55.21
04/01/2021,WO-012624580,10352,83.72
04/01/2021,WO-012621516,9805,70.58
04/01/2021,WO-012619730,9803,70.58
04/01/2021,WO-012574549,9805,78.06
04/01/2021,WO-012620854,9809,79.64
04/01/2021,WO-012623595,9809,79.64
04/01/2021,WO-012478408,9802,48.49
04/01/2021,WO-012625391,9802,48.49
04/01/2021,WO-012583270,9802,48.49
04/01/2021,WO-012624324,9807,48.49
04/01/2021,WO-012621943,9807,42.72
04/01/2021,WO-012623782,9804,65
04/01/2021,WO-012519587,9804,66.3
04/01/2021,WO-012602280,9804,65
04/01/2021,WO-012589046,10350,48.16
04/01/2021,WO-012624279,9784,48.16
04/01/2021,WO-012541988,9784,48.16
04/01/2021,WO-012623438,2897,52.29
04/01/2021,WO-012619355,2897,52.29
04/01/2021,WO-012604071,10342,52.29
04/01/2021,WO-012585691,10342,52.29
04/01/2021,WO-012542484,9803,64.26
04/01/2021,WO-012522396,10441,78.08
04/01/2021,WO-012612941,10441,69.42
04/01/2021,WO-012621245,9803,69.42
04/01/2021,WO-012625333,10441,78.33
04/01/2021,WO-012571804,9810,67.6
04/01/2021,WO-012623354,9810,67.6
04/01/2021,WO-012624136,9810,67.6
04/01/2021,WO-012623363,9805,67.6
04/01/2021,WO-012621248,9805,67.6
04/01/2021,WO-012613115,9810,67.6
04/01/2021,WO-012620820,9808,67.6
04/01/2021,WO-012556272,10441,78.33
04/01/2021,WO-012612581,9772,30
04/01/2021,WO-012604334,9772,30
04/01/2021,WO-012617841,9772,30
04/01/2021,WO-012620071,9772,30
04/01/2021,WO-012539300,9749,30
04/01/2021,WO-012618690,9749,30
04/01/2021,WO-012577235,9749,30
04/01/2021,WO-012573369,9773,30
04/01/2021,WO-012549923,9749,30
04/01/2021,WO-012584207,9776,30
04/01/2021,WO-012564676,9776,30
04/01/2021,WO-012601291,9776,30
04/01/2021,WO-012625054,9776,30
04/01/2021,WO-012612053,10153,30
04/01/2021,WO-012619059,10153,30
04/01/2021,WO-012618819,10153,30
04/01/2021,WO-012613542,10153,30
04/01/2021,WO-012599177,9816,30
04/01/2021,WO-012623593,9816,30
04/01/2021,WO-012625782,9816,30
04/01/2021,WO-012593557,9816,30
04/01/2021,WO-012600877,2601,30
04/01/2021,WO-012500640,2601,30
04/01/2021,WO-012600680,2601,30
04/01/2021,WO-012613820,2601,30
04/01/2021,WO-012603516,10367,30
04/01/2021,WO-012612461,10367,30
04/01/2021,WO-012613714,10367,30
04/01/2021,WO-012562772,10367,30
04/01/2021,WO-012624803,10435,30
04/01/2021,WO-012617198,10435,30
04/01/2021,WO-012624053,10435,30
04/01/2021,WO-012573510,9773,30
04/01/2021,WO-012599436,10435,30
04/01/2021,WO-012618391,2813,30
04/01/2021,WO-012514833,2813,72.73
04/01/2021,WO-012356776,2813,140.14
04/01/2021,WO-012575514,9774,140.14
04/01/2021,WO-012611074,9774,140.14
04/01/2021,WO-012608891,9774,140.14
04/01/2021,WO-012617224,9773,57.53
04/01/2021,WO-012609353,2736,95.77
04/01/2021,WO-012621463,9630,40.76
04/01/2021,WO-012606127,9630,42.52
04/01/2021,WO-012623488,6929,42.52
04/01/2021,WO-012623027,9630,38.5
04/01/2021,WO-012589231,6997,30
04/01/2021,WO-012612411,6997,30
04/01/2021,WO-012622966,9631,30
04/01/2021,WO-012620173,9631,30
04/01/2021,WO-012620178,9631,30
04/01/2021,WO-012623849,9631,30
04/01/2021,WO-012625512,9652,30
04/01/2021,WO-012617253,2307,30
04/01/2021,WO-012614810,9652,30
04/01/2021,WO-012604890,9652,30
04/01/2021,WO-012613014,9652,30
04/01/2021,WO-012537318,9661,30
04/01/2021,WO-012577488,9661,30
04/01/2021,WO-012621359,2307,30
04/01/2021,WO-012582676,9661,30
04/01/2021,WO-012620091,2480,87
04/01/2021,WO-012589221,6929,56.54
04/01/2021,WO-012599563,3093,56.54
04/01/2021,WO-012617906,3093,82.53
04/01/2021,WO-012620312,2927,82.53
04/01/2021,WO-012625306,9630,92.49
04/01/2021,WO-012583231,9661,146.17
04/01/2021,WO-012624109,10351,96.21
04/01/2021,WO-012624656,2897,52.29
04/01/2021,WO-012627063,2897,52.29
04/01/2021,WO-012627062,10342,52.29
04/01/2021,WO-012624642,10342,52.29
04/01/2021,WO-012624695,9807,52.29
04/01/2021,WO-012627127,9807,52.29
04/01/2021,WO-012624697,9802,52.29
04/01/2021,WO-012626665,10352,67.6
04/01/2021,WO-012627640,9799,48.49
04/01/2021,WO-012627275,10394,69.42
04/01/2021,WO-012628323,10350,49.84
04/01/2021,WO-012627920,9784,52.4
04/01/2021,WO-012628496,10350,65
04/01/2021,WO-012628530,9806,30
04/01/2021,WO-012629176,10342,48.49
04/01/2021,WO-012628814,9806,52.29
04/01/2021,WO-012623590,9772,30
04/01/2021,WO-012629208,9779,30
04/01/2021,WO-012628653,6929,56.54
04/01/2021,WO-012630318,10352,49.84
04/01/2021,WO-012629787,10352,49.84
04/01/2021,WO-012629646,9784,76.87
04/01/2021,WO-012630043,9802,30
04/01/2021,WO-012629826,2736,30
04/01/2021,WO-012630412,9779,30
04/01/2021,WO-012630037,10153,140.14
04/01/2021,WO-012599244,2736,57.53
04/01/2021,WO-012629691,2927,65.77
04/01/2021,WO-012631147,9804,62.82
04/01/2021,WO-012631334,9805,96.26
04/01/2021,WO-012631423,10351,52.29
